,dien_tich,phong_ngu,so_tang,lat,long,gia,gia_m2,ten_duong,ten_phuong,so_do2
2833,70.0,4.801504451949647,4.776731098605334,21.0123071,105.8451758,26000.0,371.4285714285714,56,5,1
2834,30.0,4.0,4.0,21.0096324,105.8501333,17300.0,576.6666666666666,56,5,1
2835,170.0,4.801504451949647,4.776731098605334,21.0170158,105.8507508,105000.0,617.6470588235294,85,1,1
2836,200.0,4.801504451949647,4.776731098605334,21.0161916,105.8576533,95000.0,475.0,23,9,1
2837,130.0,6.0,4.776731098605334,21.0151263,105.8509152,49500.0,380.7692307692308,41,1,1
2838,40.0,9.0,5.0,21.0130829,105.8502332,24000.0,600.0,80,10,0
2839,33.0,4.801504451949647,4.776731098605334,21.017643,105.8502447,25000.0,757.5757575757576,80,1,0
2840,70.0,1.0,5.0,21.0251735,105.8496706,25500.0,364.2857142857143,75,11,0
2841,90.0,1.0,1.0,21.0117469,105.8516541,46000.0,511.1111111111111,24,10,0
2842,62.0,4.0,4.0,20.9938119,105.8419579,9000.0,159.67741935483872,25,0,0
2843,159.0,5.0,3.0,20.9959104,105.8576533,15500.0,97.48427672955977,60,6,0
2844,71.0,4.0,5.0,21.0019569,105.8617213,18000.0,253.5211267605634,77,13,1
2845,231.0,1.0,1.0,20.9959104,105.8576533,300000.0,145.98540145985402,60,6,1
2846,77.0,1.0,1.0,20.9959104,105.8576533,13860.0,180.0,60,6,1
2847,55.0,4.0,4.0,21.0184816,105.849405,30600.0,556.3636363636364,41,1,1
2848,52.0,3.0,5.0,21.0117469,105.8516541,17000.0,326.9230769230769,24,10,1
2849,105.0,4.0,4.0,20.9995814,105.8454528,12300.0,117.14285714285714,30,19,1
2850,50.0,4.801504451949647,4.776731098605334,21.0004215,105.850545,11000.0,220.0,3,2,0
2851,55.0,4.0,4.0,21.0053964,105.8569193,12500.0,227.27272727272728,78,14,0
2852,110.0,6.0,5.0,21.0017059,105.8460708,26000.0,236.3636363636364,14,0,0
2853,140.0,8.0,3.0,21.0170158,105.8507508,105000.0,750.0,85,1,1
2854,145.0,4.801504451949647,3.0,21.0004215,105.850545,23000.0,158.6206896551724,3,2,0
2855,46.0,4.0,6.0,21.0062655,105.8519196,10900.0,236.95652173913044,95,14,1
2856,80.0,6.0,4.0,21.0019569,105.8617213,9900.0,123.75,77,13,1
2857,90.0,6.0,4.0,21.0023036,105.8489024,8490.0,94.33333333333331,31,0,1
2858,45.0,3.0,3.0,21.0053964,105.8569193,12300.0,273.3333333333333,78,14,0
2859,80.0,5.0,6.0,20.9965725,105.8427916,15200.0,190.0,25,19,1
2860,130.0,4.0,4.0,20.997249,105.842709,23500.0,180.7692307692308,25,19,0
2861,70.0,4.0,3.0,20.9965725,105.8427916,10000.0,142.85714285714286,25,19,0
2862,40.0,4.801504451949647,4.0,21.0003977,105.8697617,5000.0,187.5,20,16,1
2863,77.0,1.0,1.0,20.9959104,105.8576533,13860.0,180.0,60,6,1
2864,200.0,3.0,3.0,20.9967604,105.8432719,48000.0,240.0,38,19,1
2865,30.0,4.0,4.0,21.0069151,105.8656789,10200.0,340.0,95,2,1
2866,36.0,1.0,1.0,20.9959104,105.8576533,9500.0,263.8888888888889,60,6,1
2867,65.0,6.0,4.0,21.0069151,105.8656789,24500.0,376.9230769230769,95,1,1
2868,122.0,8.0,4.0,21.0151263,105.8509152,49500.0,405.7377049180328,41,1,1
2869,55.0,4.0,4.0,21.0184816,105.849405,30600.0,556.3636363636364,41,1,1
2870,231.0,4.801504451949647,4.776731098605334,21.0136601,105.8499624,135000.0,544.3548387096774,41,1,0
2871,30.0,3.0,5.0,21.0053964,105.8569193,8900.0,296.6666666666667,78,14,1
2872,192.0,4.0,4.0,21.0180563,105.8537874,85000.0,442.7083333333333,71,8,1
2873,50.0,5.0,7.0,21.0017059,105.8460708,12800.0,256.0,14,0,1
2874,209.0,3.0,1.0,21.0004203,105.8535447,40755.0,195.0,75,11,1
2875,231.0,5.0,4.776731098605334,21.0089288,105.8622032,24000.0,40.0,84,3,0
2876,231.0,3.0,4.776731098605334,20.9963826,105.8619728,20000.0,67.11409395973155,60,6,1
2877,55.0,3.0,4.776731098605334,21.015765,105.85227,18500.0,336.3636363636364,73,8,1
2878,161.0,4.801504451949647,5.0,21.0022207,105.8508119,37500.0,262.22222222222223,3,2,0
2879,100.0,4.801504451949647,4.776731098605334,20.9982638,105.8673667,24000.0,240.0,60,6,0
2880,56.0,4.0,6.0,21.0091542,105.86867,,,56,5,0
2881,90.0,4.801504451949647,5.0,21.0018882,105.8456614,28800.0,338.8235294117647,14,0,0
2882,32.0,4.801504451949647,1.0,21.0161662,105.8594134,18000.0,463.6363636363636,85,9,1
2883,215.0,4.801504451949647,4.776731098605334,20.9959104,105.8576533,40205.0,187.0,60,6,0
2884,35.0,4.801504451949647,1.0,20.9959104,105.8576533,9400.0,268.57142857142856,60,6,0
2885,30.0,4.0,4.776731098605334,21.0042694,105.8459098,11000.0,366.6666666666667,14,0,1
2886,231.0,6.0,4.776731098605334,20.996569,105.8427741,26000.0,60.18518518518518,25,19,1
2887,50.0,5.0,4.776731098605334,20.996569,105.8427741,13500.0,270.0,25,19,1
2888,42.7,5.0,4.776731098605334,21.0105643,105.850245,25500.0,597.1896955503513,56,5,1
2889,77.4,4.0,4.776731098605334,21.0004215,105.850545,23000.0,297.15762273901805,3,2,1
2890,110.0,3.0,3.0,21.0115168,105.8533481,25000.0,227.27272727272728,24,10,1
2891,86.0,4.801504451949647,3.0,20.9993202,105.8594256,9000.0,104.65116279069768,26,12,0
2892,58.0,4.801504451949647,5.0,21.0078523,105.8695862,6250.0,107.75862068965516,77,13,1
2893,231.0,4.801504451949647,4.776731098605334,21.0146013,105.8492911,107500.0,430.0,65,7,0
2894,220.0,1.0,1.0,21.0092071,105.8492575,92000.0,440.9090909090909,56,5,1
2895,93.0,4.0,7.0,20.9979326,105.8503243,30000.0,322.5806451612903,3,2,1
2896,133.0,4.801504451949647,4.776731098605334,21.0107623,105.8457915,68000.0,511.2781954887218,56,5,0
2899,231.0,10.5,4.776731098605334,21.014855,105.8504718,80000.0,50.0,41,1,1
2900,180.0,4.0,4.776731098605334,21.0029863,105.865675,5800.0,32.22222222222222,77,13,1
2901,40.0,3.0,5.0,21.0088308,105.8632384,5900.0,147.5,84,13,0
2902,70.0,4.801504451949647,4.776731098605334,21.0161916,105.8576533,31000.0,442.8571428571428,23,9,0
2903,166.0,4.801504451949647,4.776731098605334,21.0195803,105.8477831,112000.0,674.6987951807229,74,7,0
2904,100.0,10.0,7.0,21.0022207,105.8508119,30000.0,314.79538300104934,3,2,1
2908,100.0,4.801504451949647,7.0,21.0115971,105.8533051,30000.0,314.79538300104934,3,2,0
2910,51.0,4.0,4.776731098605334,20.9963826,105.8619728,4400.0,86.27450980392157,60,6,1
2911,150.0,10.5,10.5,21.0194581,105.8456974,67000.0,446.6666666666667,65,7,1
2912,22.0,4.0,4.0,21.0101897,105.8534686,9300.0,422.7272727272728,28,10,0
2913,105.0,2.0,3.0,20.9986212,105.8605019,22500.0,214.28571428571428,60,6,0
2915,50.0,4.0,4.0,20.998923,105.8532232,9800.0,196.0,11,2,1
2916,35.0,4.0,5.0,20.9959104,105.8576533,8650.0,247.14285714285717,60,6,0
2917,140.0,4.801504451949647,4.776731098605334,21.017135,105.8469659,,,85,7,0
2919,90.0,10.0,7.0,21.014855,105.8504718,84000.0,933.3333333333334,41,1,0
2923,71.0,4.801504451949647,4.776731098605334,20.9965725,105.8427916,26500.0,373.23943661971833,25,19,0
2924,44.0,4.0,5.0,21.0156387,105.8651446,6500.0,147.72727272727272,81,15,1
2926,231.0,4.801504451949647,2.0,20.9970859,105.84487,88000.0,291.3907284768212,38,19,1
2927,54.0,4.0,4.0,20.9965567,105.8468125,16500.0,305.55555555555554,81,15,1
2928,65.0,6.0,5.0,21.0029223,105.8698613,6600.0,101.53846153846152,77,13,0
2929,54.0,4.0,4.0,21.0029863,105.865675,6600.0,122.22222222222224,18,6,1
2930,35.0,4.801504451949647,4.776731098605334,20.9959104,105.8576533,8950.0,255.7142857142857,60,6,1
2931,133.0,4.801504451949647,4.0,21.0105259,105.8456894,68000.0,511.2781954887218,56,5,1
2932,219.0,4.801504451949647,4.776731098605334,21.0153877,105.8542963,155000.0,707.7625570776256,71,8,0
2933,14.0,4.801504451949647,4.776731098605334,21.0170576,105.8528483,12500.0,892.8571428571429,29,8,0
2934,76.0,4.801504451949647,6.0,21.0017059,105.8460708,26500.0,348.6842105263158,14,0,0
2935,96.0,4.801504451949647,4.776731098605334,21.0115168,105.8533481,12500.0,130.20833333333334,24,10,0
2936,38.0,4.801504451949647,4.0,21.0115168,105.8533481,14100.0,371.05263157894734,24,0,0
2937,42.0,4.801504451949647,4.776731098605334,21.0117469,105.8516541,0.028,0.000666666666666,24,10,0
2938,77.0,4.801504451949647,7.0,21.0029223,105.8698613,21800.0,196.42857142857144,77,13,0
2939,64.0,4.801504451949647,5.0,20.997249,105.842709,18500.0,289.0625,25,19,0
2940,68.0,4.801504451949647,4.776731098605334,20.9981979,105.8673067,21800.0,320.5882352941176,60,6,0
2941,114.0,4.801504451949647,4.776731098605334,21.0138567,105.8543244,36500.0,328.94736842105266,64,8,0
2942,79.0,4.801504451949647,4.776731098605334,20.997249,105.842709,15800.0,200.0,25,19,1
