,dien_tich,phong_ngu,so_tang,mat_tien,noi_that,huong_nha,so_do,lat,long,gia,gia_m2,id_duong,ten_duong,do_rong_duong,id_phuong,ten_phuong
5002,50.0,4.801504451949647,4.0,5.0,,,,21.0186112,105.8499795,36000.0,720.0,5e958eea208d0d6d7648fdd9,Đường Bùi Thị Xuân,,5e5501cbeb80a7245175e137,Phường Bùi Thị Xuân
5003,38.0,4.801504451949647,4.776731098605334,,,,Sổ đỏ chính chủ,21.0091542,105.86867,14000.0,368.42105263157896,5e958eea208d0d6d7648fdf4,Đường Lê Đại Hành,,5e5501cbeb80a7245175e139,Phường Lê Đại Hành
5004,90.0,6.0,6.0,4.2,"Hoàn thiện nội thất cao cấp bao gồm hệ thống cửa cuốn điện, nhôm thủy lực, full sàn gỗ, thiết bị vệ sinh cao cấp To to, đền led tiết kiệm điện...",,,21.0078523,105.8695862,11000.0,122.22222222222224,5e958eea208d0d6d7648fe18,Đường Thanh Lương,,5e5501cbeb80a7245175e13d,Phường Thanh Lương
5005,48.3,4.801504451949647,4.0,6.0,,,Sổ đỏ chính chủ.,21.0109796,105.8628205,11500.0,238.0952380952381,5e958eea208d0d6d7648fdf7,Đường Lương Yên,,,
5006,180.0,4.801504451949647,4.776731098605334,8.7,,Bắc,,21.0091003,105.8564284,38300.0,212.77777777777777,5e958eea208d0d6d7648fe1f,Đường Trần Khát Chân,,5e5501cbeb80a7245175e13e,Phường Thanh Nhàn
5007,150.0,4.801504451949647,10.5,,,,Có sổ,21.0199027,105.8421739,65000.0,,5e958eea208d0d6d7648fe00,Đường Nguyễn Du,,5e5501cbeb80a7245175e134,Phường Nguyễn Du
5008,80.0,4.801504451949647,3.0,5.3,,Đông,Có sổ,21.0180919,105.8553024,36000.0,460.0,5e958eea208d0d6d7648fe4c,Phố Phạm Đình Hổ,,5e5501cbeb80a7245175e136,Phường Phạm Đình Hổ
5009,48.0,2.0,4.776731098605334,,,,Sổ đỏ,21.0107623,105.8457915,19200.0,400.0,,,,5e5501cbeb80a7245175e139,Phường Lê Đại Hành
5010,39.4,4.801504451949647,4.776731098605334,35.0,,Đông,Sổ đỏ chính chủ,21.0123583,105.8584609,7000.0,177.66497461928935,5e958eea208d0d6d7648fe46,Phố Lò Đúc,,5e5501cbeb80a7245175e13c,Phường Đống Mác
5011,109.0,4.801504451949647,1.0,5.5,"Nhà cũ nên chỉ tính đất Nhà mới 7 tầng full nội thất, thang máy nhập khẩu",,Sổ đỏ chính chủ nhà mới có gpxd đầy đủ,21.0053964,105.8569193,23980.0,220.0,5e958eea208d0d6d7648fe19,Đường Thanh Nhàn,,5e5501cbeb80a7245175e13e,Phường Thanh Nhàn
5012,58.0,5.0,5.0,5.5,,Đông,,21.0053964,105.8569193,7300.0,125.86206896551724,5e958eea208d0d6d7648fe19,Đường Thanh Nhàn,,5e5501cbeb80a7245175e13e,Phường Thanh Nhàn
5013,59.0,4.801504451949647,3.0,5.2,,Đông,,21.0115971,105.8533051,8290.0,140.5084745762712,5e958eea208d0d6d7648fdf2,Đường Lãng Yên,6.0,,
5014,80.0,4.801504451949647,8.0,,,KXĐ,,21.0115971,105.8533051,28500.0,356.25,5e958eea208d0d6d7648fdf0,Đường Kim Ngưu,,,
5015,48.0,4.801504451949647,4.776731098605334,,,,,21.0096324,105.8501333,18500.0,385.4166666666667,5e958eea208d0d6d7648fe44,Phố Lê Thanh Nghị,,5e5501cbeb80a7245175e139,Phường Lê Đại Hành
